127.0.0.1 - - [02/Dec/2019:09:26:27 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/index.jsp HTTP/1.1" 200 35797
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/css/swiper.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/cardiogram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/emergency-call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/stomach-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/js/jquery.collapsible.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/js/swiper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/js/circle-progress.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/js/jquery.countTo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/js/jquery.countdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/blood-sample-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/js/jquery.barfiller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/stretcher.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/teeth.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/scanner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/bones.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/blood-donation-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/glasses.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/user-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/user-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/user-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/user-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/news-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/news-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:31 +0530] "GET /BloodBank/Designs/images/news-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:32 +0530] "GET /BloodBank/Designs/images/subscribe-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:32 +0530] "GET /BloodBank/Designs/images/departments-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:32 +0530] "GET /BloodBank/Designs/images/footer-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:09:26:32 +0530] "GET /BloodBank/Designs/images/hero.jpg HTTP/1.1" 304 -
