127.0.0.1 - - [03/Dec/2019:09:47:40 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:41 +0530] "GET /BloodBank/authentication/direct_donor_login.jsp HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/vendor/animsition/css/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/vendor/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/css/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/fonts/source-sans-pro/SourceSansPro-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/fonts/source-sans-pro/SourceSansPro-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/fonts/source-sans-pro/SourceSansPro-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:47:42 +0530] "GET /BloodBank/authentication/images/logo12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/direct_donor_login.jsp HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/vendor/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/vendor/animsition/css/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/css/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/images/logo12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/fonts/source-sans-pro/SourceSansPro-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/fonts/source-sans-pro/SourceSansPro-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:48:55 +0530] "GET /BloodBank/authentication/fonts/source-sans-pro/SourceSansPro-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:49:04 +0530] "POST /BloodBank/authentication/direct_donor_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:49:04 +0530] "GET /BloodBank/Blood/welcome_donor.jsp HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:49:04 +0530] "GET /BloodBank/Designs/css/swiper.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:49:04 +0530] "GET /BloodBank/Designs/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:49:04 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:49:04 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:49:04 +0530] "GET /BloodBank/Blood/css/bootstrap.min.css HTTP/1.1" 404 1025
