127.0.0.1 - - [05/Dec/2019:09:43:41 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:43:44 +0530] "GET /BloodBank/admin/admin_bank_view_all.jsp HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:56 +0530] "GET /BloodBank/Blood/receiver_add.jsp HTTP/1.1" 200 7707
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:56 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:56 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:56 +0530] "GET /BloodBank/Blood/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:56 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:56 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:56 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:56 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:57 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:57 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:57 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:57 +0530] "GET /BloodBank/Blood/images/logo.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:57 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:57 +0530] "GET /BloodBank/Blood/images/footer-bg.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:57 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:44:57 +0530] "GET /BloodBank/Blood/images/logo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/admin.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/images/logo.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:45 +0530] "GET /BloodBank/admin/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:46 +0530] "GET /BloodBank/admin/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:46 +0530] "GET /BloodBank/admin/images/footer-bg.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:46 +0530] "GET /BloodBank/admin/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:54 +0530] "GET /BloodBank/admin/admin.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:54 +0530] "GET /BloodBank/admin/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:54 +0530] "GET /BloodBank/admin/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:54 +0530] "GET /BloodBank/admin/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:54 +0530] "GET /BloodBank/admin/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:54 +0530] "GET /BloodBank/admin/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:54 +0530] "GET /BloodBank/admin/images/logo.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Dec/2019:09:51:55 +0530] "GET /BloodBank/admin/js/jquery.countdown.min.js HTTP/1.1" 404 1035
